var;Name;val;s;alpha
Fx;PBE;1.0;0.0;0.0
Fx;PBE;1.0000054988289446;0.005005005005005005;0.0
Fx;PBE;1.000021994864488;0.01001001001001001;0.0
Fx;PBE;1.000049486752849;0.015015015015015015;0.0
Fx;PBE;1.0000879722380358;0.02002002002002002;0.0
Fx;PBE;1.000137448162307;0.025025025025025023;0.0
Fx;PBE;1.0001979104668202;0.03003003003003003;0.0
Fx;PBE;1.0002693541924634;0.035035035035035036;0.0
Fx;PBE;1.0003517734808731;0.04004004004004004;0.0
Fx;PBE;1.0004451615756325;0.04504504504504504;0.0
Fx;PBE;1.0005495108236575;0.050050050050050046;0.0
Fx;PBE;1.0006648126767625;0.055055055055055056;0.0
Fx;PBE;1.0007910576934096;0.06006006006006006;0.0
Fx;PBE;1.0009282355406397;0.06506506506506507;0.0
Fx;PBE;1.0010763349961833;0.07007007007007007;0.0
Fx;PBE;1.0012353439507544;0.07507507507507508;0.0
Fx;PBE;1.0014052494105197;0.08008008008008008;0.0
Fx;PBE;1.0015860374997476;0.08508508508508508;0.0
Fx;PBE;1.0017776934636373;0.09009009009009009;0.0
Fx;PBE;1.001980201671319;0.09509509509509509;0.0
Fx;PBE;1.0021935456190338;0.10010010010010009;0.0
Fx;PBE;1.0024177079334846;0.10510510510510511;0.0
Fx;PBE;1.0026526703753609;0.11011011011011011;0.0
Fx;PBE;1.0028984138430337;0.11511511511511512;0.0
Fx;PBE;1.003154918376423;0.12012012012012012;0.0
Fx;PBE;1.0034221631610305;0.12512512512512514;0.0
Fx;PBE;1.0037001265321404;0.13013013013013014;0.0
Fx;PBE;1.0039887859791865;0.13513513513513514;0.0
Fx;PBE;1.0042881181502825;0.14014014014014015;0.0
Fx;PBE;1.0045980988569132;0.14514514514514515;0.0
Fx;PBE;1.0049187030787874;0.15015015015015015;0.0
Fx;PBE;1.0052499049688486;0.15515515515515516;0.0
Fx;PBE;1.0055916778584428;0.16016016016016016;0.0
Fx;PBE;1.0059439942626403;0.16516516516516516;0.0
Fx;PBE;1.0063068258857104;0.17017017017017017;0.0
Fx;PBE;1.006680143626748;0.17517517517517517;0.0
Fx;PBE;1.0070639175854472;0.18018018018018017;0.0
Fx;PBE;1.007458117068021;0.18518518518518517;0.0
Fx;PBE;1.0078627105932692;0.19019019019019018;0.0
Fx;PBE;1.0082776658987829;0.19519519519519518;0.0
Fx;PBE;1.008702949947294;0.20020020020020018;0.0
Fx;PBE;1.0091385289331583;0.20520520520520522;0.0
Fx;PBE;1.0095843682889771;0.21021021021021022;0.0
Fx;PBE;1.010040432692349;0.21521521521521522;0.0
Fx;PBE;1.0105066860727547;0.22022022022022023;0.0
Fx;PBE;1.010983091618567;0.22522522522522523;0.0
Fx;PBE;1.0114696117841886;0.23023023023023023;0.0
Fx;PBE;1.0119662082973127;0.23523523523523523;0.0
Fx;PBE;1.0124728421663016;0.24024024024024024;0.0
Fx;PBE;1.0129894736876865;0.24524524524524524;0.0
Fx;PBE;1.0135160624537802;0.2502502502502503;0.0
Fx;PBE;1.0140525673604026;0.2552552552552553;0.0
Fx;PBE;1.0145989466147165;0.2602602602602603;0.0
Fx;PBE;1.0151551577431706;0.2652652652652653;0.0
Fx;PBE;1.0157211575995462;0.2702702702702703;0.0
Fx;PBE;1.016296902373106;0.2752752752752753;0.0
Fx;PBE;1.0168823475968416;0.2802802802802803;0.0
Fx;PBE;1.0174774481558164;0.2852852852852853;0.0
Fx;PBE;1.0180821582956026;0.2902902902902903;0.0
Fx;PBE;1.0186964316308076;0.2952952952952953;0.0
Fx;PBE;1.0193202211536887;0.3003003003003003;0.0
Fx;PBE;1.0199534792428515;0.3053053053053053;0.0
Fx;PBE;1.0205961576720304;0.3103103103103103;0.0
Fx;PBE;1.0212482076189473;0.3153153153153153;0.0
Fx;PBE;1.0219095796742477;0.3203203203203203;0.0
Fx;PBE;1.0225802238505073;0.3253253253253253;0.0
Fx;PBE;1.02326008959131;0.3303303303303303;0.0
Fx;PBE;1.0239491257803934;0.3353353353353353;0.0
Fx;PBE;1.0246472807508573;0.34034034034034033;0.0
Fx;PBE;1.0253545022944333;0.34534534534534533;0.0
Fx;PBE;1.0260707376708127;0.35035035035035034;0.0
Fx;PBE;1.026795933617031;0.35535535535535534;0.0
Fx;PBE;1.0275300363569022;0.36036036036036034;0.0
Fx;PBE;1.028272991610505;0.36536536536536535;0.0
Fx;PBE;1.0290247446037117;0.37037037037037035;0.0
Fx;PBE;1.0297852400777658;0.37537537537537535;0.0
Fx;PBE;1.0305544222988947;0.38038038038038036;0.0
Fx;PBE;1.031332235067964;0.38538538538538536;0.0
Fx;PBE;1.0321186217301628;0.39039039039039036;0.0
Fx;PBE;1.0329135251847252;0.39539539539539537;0.0
Fx;PBE;1.033716887894676;0.40040040040040037;0.0
Fx;PBE;1.0345286518966057;0.40540540540540543;0.0
Fx;PBE;1.0353487588104664;0.41041041041041043;0.0
Fx;PBE;1.0361771498493895;0.41541541541541543;0.0
Fx;PBE;1.0370137658295198;0.42042042042042044;0.0
Fx;PBE;1.0378585471798647;0.42542542542542544;0.0
Fx;PBE;1.0387114339521542;0.43043043043043044;0.0
Fx;PBE;1.0395723658307114;0.43543543543543545;0.0
Fx;PBE;1.040441282142328;0.44044044044044045;0.0
Fx;PBE;1.0413181218661434;0.44544544544544545;0.0
Fx;PBE;1.042202823643525;0.45045045045045046;0.0
Fx;PBE;1.0430953257879465;0.45545545545545546;0.0
Fx;PBE;1.0439955662948608;0.46046046046046046;0.0
